2025-03-28 09:00:36,175 - LOG - INFO - =======Option used=======
2025-03-28 09:04:32,984 - LOG - INFO - Epoch: 0/500 average psnr: 41.8660427  bestpsnr: 41.8660427, bestepoch: 0
2025-03-28 09:09:11,373 - LOG - INFO - Epoch: 2/500 average psnr: 44.9575619  bestpsnr: 44.9575619, bestepoch: 2
2025-03-28 09:13:45,236 - LOG - INFO - Epoch: 4/500 average psnr: 46.9287201  bestpsnr: 46.9287201, bestepoch: 4
2025-03-28 09:18:19,710 - LOG - INFO - Epoch: 6/500 average psnr: 46.8339031  bestpsnr: 46.9287201, bestepoch: 4
2025-03-28 09:23:01,138 - LOG - INFO - Epoch: 8/500 average psnr: 47.2295452  bestpsnr: 47.2295452, bestepoch: 8
2025-03-28 09:27:41,185 - LOG - INFO - Epoch: 10/500 average psnr: 47.2654934  bestpsnr: 47.2654934, bestepoch: 10
2025-03-28 09:32:16,677 - LOG - INFO - Epoch: 12/500 average psnr: 46.8415363  bestpsnr: 47.2654934, bestepoch: 10
2025-03-28 09:36:53,694 - LOG - INFO - Epoch: 14/500 average psnr: 48.2024342  bestpsnr: 48.2024342, bestepoch: 14
2025-03-28 09:41:28,843 - LOG - INFO - Epoch: 16/500 average psnr: 47.9888489  bestpsnr: 48.2024342, bestepoch: 14
2025-03-28 09:46:06,106 - LOG - INFO - Epoch: 18/500 average psnr: 48.1274960  bestpsnr: 48.2024342, bestepoch: 14
2025-03-28 09:50:41,694 - LOG - INFO - Epoch: 20/500 average psnr: 48.0560143  bestpsnr: 48.2024342, bestepoch: 14
2025-03-28 09:55:19,650 - LOG - INFO - Epoch: 22/500 average psnr: 48.4143986  bestpsnr: 48.4143986, bestepoch: 22
2025-03-28 09:59:55,650 - LOG - INFO - Epoch: 24/500 average psnr: 45.7410870  bestpsnr: 48.4143986, bestepoch: 22
2025-03-28 10:04:29,656 - LOG - INFO - Epoch: 26/500 average psnr: 47.4690502  bestpsnr: 48.4143986, bestepoch: 22
