2025-04-03 08:30:59,806 - LOG - INFO - =======Option used=======
2025-04-03 08:32:49,320 - LOG - INFO - Epoch: 0 最高PSNR: 0.0000000
2025-04-03 08:34:45,260 - LOG - INFO - =======Option used=======
2025-04-03 08:41:03,302 - LOG - INFO - =======Option used=======
2025-04-03 08:44:41,638 - LOG - INFO - Epoch: 0/1000 average psnr: 40.1077324  bestpsnr: 40.1077324, bestepoch: 0
2025-04-03 08:48:49,966 - LOG - INFO - Epoch: 2/1000 average psnr: 43.5120792  bestpsnr: 43.5120792, bestepoch: 2
2025-04-03 08:53:05,550 - LOG - INFO - Epoch: 4/1000 average psnr: 44.7074993  bestpsnr: 44.7074993, bestepoch: 4
2025-04-03 08:57:04,711 - LOG - INFO - Epoch: 6/1000 average psnr: 44.9637928  bestpsnr: 44.9637928, bestepoch: 6
2025-04-03 09:01:10,430 - LOG - INFO - Epoch: 8/1000 average psnr: 45.9349201  bestpsnr: 45.9349201, bestepoch: 8
2025-04-03 09:05:21,022 - LOG - INFO - Epoch: 10/1000 average psnr: 44.9859993  bestpsnr: 45.9349201, bestepoch: 8
2025-04-03 09:09:31,201 - LOG - INFO - Epoch: 12/1000 average psnr: 46.8351795  bestpsnr: 46.8351795, bestepoch: 12
2025-04-03 09:13:52,360 - LOG - INFO - Epoch: 14/1000 average psnr: 46.4488144  bestpsnr: 46.8351795, bestepoch: 12
2025-04-03 09:17:57,713 - LOG - INFO - Epoch: 16/1000 average psnr: 47.2159748  bestpsnr: 47.2159748, bestepoch: 16
2025-04-03 09:21:56,561 - LOG - INFO - Epoch: 18/1000 average psnr: 47.4484905  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:26:08,828 - LOG - INFO - Epoch: 20/1000 average psnr: 45.9923817  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:30:18,893 - LOG - INFO - Epoch: 22/1000 average psnr: 46.4798859  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:34:21,989 - LOG - INFO - Epoch: 24/1000 average psnr: 46.1644669  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:38:25,651 - LOG - INFO - Epoch: 26/1000 average psnr: 47.0019119  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:42:33,528 - LOG - INFO - Epoch: 28/1000 average psnr: 47.1382332  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:46:37,804 - LOG - INFO - Epoch: 30/1000 average psnr: 47.1412113  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:50:55,908 - LOG - INFO - Epoch: 32/1000 average psnr: 47.3033302  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:54:56,513 - LOG - INFO - Epoch: 34/1000 average psnr: 47.1506138  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 09:59:03,513 - LOG - INFO - Epoch: 36/1000 average psnr: 46.8745880  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 10:03:15,240 - LOG - INFO - Epoch: 38/1000 average psnr: 47.4002094  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 10:07:16,758 - LOG - INFO - Epoch: 40/1000 average psnr: 46.8512089  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 10:11:35,205 - LOG - INFO - Epoch: 42/1000 average psnr: 47.3421112  bestpsnr: 47.4484905, bestepoch: 18
2025-04-03 10:15:46,155 - LOG - INFO - Epoch: 44/1000 average psnr: 47.7586250  bestpsnr: 47.7586250, bestepoch: 44
2025-04-03 10:19:51,781 - LOG - INFO - Epoch: 46/1000 average psnr: 47.6112007  bestpsnr: 47.7586250, bestepoch: 44
2025-04-03 10:24:03,038 - LOG - INFO - Epoch: 48/1000 average psnr: 47.5469715  bestpsnr: 47.7586250, bestepoch: 44
2025-04-03 10:28:17,559 - LOG - INFO - Epoch: 50/1000 average psnr: 47.6427422  bestpsnr: 47.7586250, bestepoch: 44
2025-04-03 10:32:22,161 - LOG - INFO - Epoch: 52/1000 average psnr: 47.6707802  bestpsnr: 47.7586250, bestepoch: 44
2025-04-03 10:36:32,280 - LOG - INFO - Epoch: 54/1000 average psnr: 47.7834724  bestpsnr: 47.7834724, bestepoch: 54
2025-04-03 10:40:47,481 - LOG - INFO - Epoch: 56/1000 average psnr: 47.8456360  bestpsnr: 47.8456360, bestepoch: 56
2025-04-03 10:44:55,453 - LOG - INFO - Epoch: 58/1000 average psnr: 47.7454327  bestpsnr: 47.8456360, bestepoch: 56
2025-04-03 10:49:01,608 - LOG - INFO - Epoch: 60/1000 average psnr: 47.7559261  bestpsnr: 47.8456360, bestepoch: 56
2025-04-03 10:53:16,391 - LOG - INFO - Epoch: 62/1000 average psnr: 47.5609852  bestpsnr: 47.8456360, bestepoch: 56
2025-04-03 10:57:26,891 - LOG - INFO - Epoch: 64/1000 average psnr: 47.8934452  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:01:32,699 - LOG - INFO - Epoch: 66/1000 average psnr: 47.6411747  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:05:44,653 - LOG - INFO - Epoch: 68/1000 average psnr: 47.8132805  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:09:52,439 - LOG - INFO - Epoch: 70/1000 average psnr: 47.6537861  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:13:55,288 - LOG - INFO - Epoch: 72/1000 average psnr: 47.8645344  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:18:00,117 - LOG - INFO - Epoch: 74/1000 average psnr: 47.7858963  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:22:09,836 - LOG - INFO - Epoch: 76/1000 average psnr: 47.7889900  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:26:20,286 - LOG - INFO - Epoch: 78/1000 average psnr: 47.8382542  bestpsnr: 47.8934452, bestepoch: 64
2025-04-03 11:30:25,617 - LOG - INFO - Epoch: 80/1000 average psnr: 47.9799644  bestpsnr: 47.9799644, bestepoch: 80
2025-04-03 11:34:47,242 - LOG - INFO - Epoch: 82/1000 average psnr: 47.9525620  bestpsnr: 47.9799644, bestepoch: 80
2025-04-03 11:38:58,597 - LOG - INFO - Epoch: 84/1000 average psnr: 48.0075253  bestpsnr: 48.0075253, bestepoch: 84
2025-04-03 11:43:06,354 - LOG - INFO - Epoch: 86/1000 average psnr: 47.9878296  bestpsnr: 48.0075253, bestepoch: 84
2025-04-03 11:47:10,939 - LOG - INFO - Epoch: 88/1000 average psnr: 48.0204182  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 11:51:28,894 - LOG - INFO - Epoch: 90/1000 average psnr: 47.9051598  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 11:55:36,682 - LOG - INFO - Epoch: 92/1000 average psnr: 47.9589222  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 11:59:37,740 - LOG - INFO - Epoch: 94/1000 average psnr: 47.9718586  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 12:03:45,950 - LOG - INFO - Epoch: 96/1000 average psnr: 48.0303070  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:07:58,296 - LOG - INFO - Epoch: 98/1000 average psnr: 47.9743591  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:12:14,035 - LOG - INFO - Epoch: 100/1000 average psnr: 47.7218498  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:16:23,390 - LOG - INFO - Epoch: 102/1000 average psnr: 47.8688366  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:20:31,378 - LOG - INFO - Epoch: 104/1000 average psnr: 48.1038002  bestpsnr: 48.1038002, bestepoch: 104
2025-04-03 12:24:42,188 - LOG - INFO - Epoch: 106/1000 average psnr: 48.1410763  bestpsnr: 48.1410763, bestepoch: 106
2025-04-03 12:28:51,631 - LOG - INFO - Epoch: 108/1000 average psnr: 48.0973736  bestpsnr: 48.1410763, bestepoch: 106
2025-04-03 12:33:02,738 - LOG - INFO - Epoch: 110/1000 average psnr: 47.9428799  bestpsnr: 48.1410763, bestepoch: 106
2025-04-03 12:37:07,625 - LOG - INFO - Epoch: 112/1000 average psnr: 48.1414227  bestpsnr: 48.1414227, bestepoch: 112
2025-04-03 12:41:16,190 - LOG - INFO - Epoch: 114/1000 average psnr: 48.0996052  bestpsnr: 48.1414227, bestepoch: 112
